id,email,dummy_email,first name,last name,name,full_name,description,company_position,company_name,created_at,last.seen,last.seen_unix,last.location.country.code,last.location.city,totals.visits,totals.pageviews,totals.engaged_time,first.referrer.href,Plan,NPS,lead_score,heard_about,avatar,phone,company_position (rnd generator)
34744,cabel@panic.com,olivia.lahti@example.com,olivia,lahti,Olivia Lahti,Olivia Lahti,Co-founder of Widget Inc ⋆ Maker of upcoming new widgets  ⋆ Let's talk about things we love,CEO,Widget Corp,3/3/2016 21:18:26,8/5/2016 16:46:09,1470415569,US,Portland,70,577,9237025,https://facebook.com/,Enterpise,8,5,Meetup,https://randomuser.me/api/portraits/women/29.jpg,048-128-08-51,CEO
29514,planetMitch@planet5D.com,tamara.schmitz@example.com,tamara,schmitz,Tamara Schmitz,Tamara Schmitz,"Sales at 123 Warehousing - the best warehousing on the planet! If you're looking to store numbers, I'm your gal!",Sales,123 Warehousing,2/10/2016 7:59:45,8/5/2016 16:41:24,1470415284,US,St Louis,326,2032,87553775,https://twitter.com/GoSquared/status/735492217792405504,Pro,3,7,Podcast,https://randomuser.me/api/portraits/women/71.jpg,0178-8833517,Customer Success
45545,matt@neededition.com,sara.saez@example.com,sara,saez,Sara Saez,Sara Saez,"Handle all the money at Dunder Mifflin – spolier alert, we have none.",CFO,Dunder Mifflin,8/14/2015 6:01:14,8/5/2016 16:39:32,1470415172,IT,Dallas,1868,9568,279672944,https://facebook.com/,Basic,4,3,Facebook,https://randomuser.me/api/portraits/women/55.jpg,632-900-305,Designer
57776,e@esmewang.com,michelle.garcia@example.com,michelle,garcia,Michelle Garcia,Michelle Garcia,Coined the term 'Big Data' – now spend my term trying to figure out what it means.,Founder,Big Data Inc,8/7/2015 13:49:06,8/4/2016 16:15:58,1470327358,US,San Francisco,69,443,4510582,https://facebook.com/,Pro,10,9,Friend,https://randomuser.me/api/portraits/women/88.jpg,0448-709-958,Marketing
67577,louie+gosquared@parakeet.co,martin.muñoz@example.com,martin,muñoz,Martin Muñoz,Martin Muñoz,Make and sell 100% totally legit things.,CTO,Legit Industries,4/7/2015 9:15:47,8/1/2016 17:06:13,1470071173,US,Las Vegas,152,850,14957585,https://www.producthunt.com/,Basic,8,4,Meetup,https://randomuser.me/api/portraits/men/52.jpg,640-705-165,Marketing
15930,bjfogg@stanford.edu,antonin.roger@example.com,antonin,roger,Antonin Roger,Antonin Roger,Stanford innovator & psychologist. Focus on behavior of Foo's and the life of Bar's. I work at least 50% in industry. Fun mix.,Designer,Foo Bars,8/6/2015 16:59:11,8/2/2016 21:49:42,1470174582,US,Windsor,278,3178,19595917,https://www.producthunt.com/,Enterpise,6,5,Friend,https://randomuser.me/api/portraits/men/12.jpg,06-52-92-71-08,Designer
59945,brian@brianhoffdesign.com,luciane.rodrigues@example.com,luciane,rodrigues,Luciane Rodrigues,Luciane Rodrigues,Creative Director at the New Firm. Previousy graphic designer at the Old Firm.,Designer,The New Firm,4/21/2015 6:01:39,8/4/2016 13:30:10,1470317410,US,Morrisville,1821,4710,67879649,https://facebook.com/,Pro,10,10,Facebook,https://randomuser.me/api/portraits/women/34.jpg,(12) 7193-1434,Founder
44634,vinylrecordsuk@aol.com,marvin.mitchelle@example.com,marvin,mitchelle,Marvin Mitchelle,Marvin Mitchelle,We export all the things.,Business Development,Universal Export,10/17/2013 18:12:27,7/30/2016 1:43:00,1469842980,GB,Portsmouth,616,7891,164354066,https://facebook.com/,Enterpise,8,6,Friend,https://randomuser.me/api/portraits/men/54.jpg,081-303-1719,CTO
32562,davidsonc@hpumc.org,harper.barnaby@example.com,harper,barnaby,Harper Barnaby,Harper Barnaby,"Full time HTML5 Game Developer and creator of fake profiles, dummy data, made up companies and false IDs. Child of the 80s, demoscener, anime and pixel art fan.",Developer,Fake Brothers,7/24/2015 18:04:34,8/4/2016 22:34:48,1470350088,US,New York,758,2627,36256555,https://facebook.com/,Pro,9,5,Friend,https://randomuser.me/api/portraits/women/48.jpg,474-975-6594,Business Development
66993,mathieu@wealthfactory.com,santana.koppenol@example.com,santana,koppenol,Santana Koppenol,Santana Koppenol,Still looking for ideas.,Customer Success,BLAND Corporation,8/27/2013 15:53:57,8/4/2016 23:11:57,1470352317,US,Sandy,302,1973,65338373,https://twitter.com/GoSquared/status/735492217792405504,Pro,1,9,Meetup,https://randomuser.me/api/portraits/women/93.jpg,(932)-559-2768,Designer
